Parameter,carrier,tech,var_name
Energy_Cost_System,ALL,ALL,total_system_cost
EnergyConversion_Curtailment_Electricity_RE,electricity,curtailment,flow_in
EnergyConversion_SecondaryEnergy_Electricity_RE,re,none,re_generation
EnergyConversion_SecondaryEnergy_Electricity_Slack,electricity,shortage,flow_out
Transmission_Losses_Electricity_Grid,electricity,transmission,loss
Transmission_Flows_Electricity_Grid,electricity,transmission,flow_gross
Energy_EmissionCost_CO2,ALL,ALL,cost_emission
Energy_Emissions_CO2,ALL,ALL,emissions
EnergyConversion_Capacity_Electricity_CH4_GT,ch4,gt,capacity_sum
EnergyConversion_Capacity_Electricity_Nuclear_ST,uranium,nuclear-st,capacity_sum
EnergyConversion_Capacity_Electricity_Solar_PV,solar,pv,capacity_sum
EnergyConversion_Capacity_Electricity_Wind_Offshore,wind,offshore,capacity_sum
EnergyConversion_Capacity_Electricity_Wind_Onshore,wind,onshore,capacity_sum
EnergyConversion_Capacity_ElectricityHeat_CH4_ExCCGT,ch4,extchp,capacity_sum
EnergyConversion_Capacity_Heat_CH4_Small,ch4,boiler-small,capacity_sum
EnergyConversion_Capacity_Heat_CH4_Large,ch4,boiler-large,capacity_sum
EnergyConversion_Capacity_Heat_Electricity_Large,electricity,pth,capacity_sum
EnergyConversion_Capacity_Heat_ElectricityHeat_Large,electricity,heatpump-large,capacity_sum
EnergyConversion_Capacity_Heat_ElectricityHeat_Small,electricity,heatpump-small,capacity_sum
Storage_Capacity_Heat_LargeStorage,heat_central,storage-large,storage_capacity_sum
Storage_Capacity_Heat_SmallStorage,heat_decentral,storage-small,storage_capacity_sum
EnergyConversion_FixOM_Electricity_CH4_GT,ch4,gt,cost_fixom
EnergyConversion_FixOM_Electricity_Nuclear_ST,uranium,nuclear-st,cost_fixom
EnergyConversion_FuelCosts_Electricity_CH4_GT,ch4,gt,cost_fuel
EnergyConversion_FuelCosts_Electricity_Nuclear_ST,uranium,nuclear-st,cost_carrier
EnergyConversion_Invest_Electricity_CH4_GT,ch4,gt,cost_invest
EnergyConversion_Invest_Electricity_Nuclear_ST,uranium,nuclear-st,cost_invest
EnergyConversion_SecondaryEnergy_Electricity_CH4_GT,ch4,gt,flow_out
EnergyConversion_SecondaryEnergy_Electricity_Nuclear_ST,uranium,nuclear-st,flow_out
EnergyConversion_VarOM_Electricity_CH4_GT,ch4,gt,cost_varom
EnergyConversion_VarOM_Electricity_Nuclear_ST,uranium,nuclear-st,cost_varom
Storage_Capacity_Electricity_H2CavernCharge,electricity,h2_cavern,capacity_charge_sum
Storage_Capacity_Electricity_H2CavernDischarge,electricity,h2_cavern,capacity_discharge_sum
Storage_Capacity_Electricity_H2CavernStorage,electricity,h2_cavern,storage_capacity_sum
Storage_Capacity_Electricity_LiIonBatteryCharge,electricity,liion_battery,capacity_charge_sum
Storage_Capacity_Electricity_LiIonBatteryDischarge,electricity,liion_battery,capacity_discharge_sum
Storage_Capacity_Electricity_LiIonBatteryStorage,electricity,liion_battery,storage_capacity_sum
Storage_FixOM_Electricity_H2CavernStorage,electricity,h2_cavern,cost_fixom
Storage_FixOM_Electricity_LiIonBatteryStorage,electricity,liion_battery,cost_fixom
Storage_Input_Electricity_H2CavernStorage,electricity,h2_cavern,flow_in
Storage_Input_Electricity_LiIonBatteryStorage,electricity,liion_battery,flow_in
Storage_Invest_Electricity_H2CavernStorage,electricity,h2_cavern,cost_invest
Storage_Invest_Electricity_LiIonBatteryStorage,electricity,liion_battery,cost_invest
Storage_Losses_Electricity_H2CavernStorage,electricity,h2_cavern,loss
Storage_Losses_Electricity_LiIonBatteryStorage,electricity,liion_battery,loss
Storage_Output_Electricity_H2CavernStorage,electricity,h2_cavern,flow_out
Storage_Output_Electricity_LiIonBatteryStorage,electricity,liion_battery,flow_out
Storage_VarOM_Electricity_H2CavernStorage,electricity,h2_cavern,cost_varom
Storage_VarOM_Electricity_LiIonBatteryStorage,electricity,liion_battery,cost_varom
EnergyConversion_FuelCosts_ElectricityHeat_CH4_BpCCGT,ch4,bpchp,cost_fuel
EnergyConversion_SecondaryEnergy_Electricity_ElectricityHeat_CH4_BpCCGT,ch4,bpchp,flow_electricity
EnergyConversion_SecondaryEnergy_Heat_ElectricityHeat_CH4_BpCCGT,ch4,bpchp,flow_heat
EnergyConversion_SecondaryEnergy_Heat_Slack,heat,shortage,flow_out
EnergyConversion_VarOM_ElectricityHeat_CH4_BpCCGT,ch4,bpchp,cost_varom
EnergyConversion_FuelCosts_ElectricityHeat_CH4_ExCCGT,ch4,extchp,cost_fuel
EnergyConversion_SecondaryEnergy_Electricity_ElectricityHeat_CH4_ExCCGT,ch4,extchp,flow_electricity
EnergyConversion_SecondaryEnergy_Heat_ElectricityHeat_CH4_ExCCGT,ch4,extchp,flow_heat
EnergyConversion_VarOM_ElectricityHeat_CH4_ExCCGT,ch4,extchp,cost_varom
EnergyConversion_SecondaryEnergy_Heat_Gas_Small,ch4,boiler-small,flow_out
EnergyConversion_VarOM_Heat_Gas_Small,ch4,boiler-small,cost_varom
EnergyConversion_SecondaryEnergy_Heat_Gas_Large,ch4,boiler-large,flow_out
EnergyConversion_VarOM_Heat_Gas_Large,ch4,boiler-large,cost_varom
EnergyConversion_SecondaryEnergy_Heat_Electricity_Large,electricity,pth,flow_out
EnergyConversion_SecondaryEnergy_Heat_ElectricityHeat_Large,electricity,heatpump-large,flow_out
EnergyConversion_VarOM_Heat_Electricity_Large,electricity,pth,cost_varom
EnergyConversion_VarOM_Heat_ElectricityHeat_Large,electricity,heatpump-large,cost_varom
EnergyConversion_SecondaryEnergy_Heat_ElectricityHeat_Small,electricity,heatpump-small,flow_out
EnergyConversion_VarOM_Heat_ElectricityHeat_Small,electricity,heatpump-small,cost_varom
Storage_Input_Heat_LargeStorage,heat_central,storage-large,flow_in
Storage_Losses_Heat_LargeStorage,heat_central,storage-large,loss
Storage_Output_Heat_LargeStorage,heat_central,storage-large,flow_out
Storage_VarOM_Heat_LargeStorage,heat_central,storage-large,cost_varom
Storage_Input_Heat_SmallStorage,heat_decentral,storage-small,flow_in
Storage_Losses_Heat_SmallStorage,heat_decentral,storage-small,loss
Storage_Output_Heat_SmallStorage,heat_decentral,storage-small,flow_out
Storage_VarOM_Heat_SmallStorage,heat_decentral,storage-small,cost_varom
EnergyConversion_SecondaryEnergy_Electricity_Hydro_ReservoirPump,hydro,reservoir,flow_in
EnergyConversion_Losses_Electricity_Hydro_Reservoir,hydro,reservoir,losses
EnergyConversion_SecondaryEnergy_Electricity_Hydro_ReservoirTurbine,hydro,reservoir,flow_out
EnergyConversion_VarOM_Electricity_Hydro_Reservoir,hydro,reservoir,cost_varom
Transport_Charging_DrivePower_Electricity,electricity,bev,flow_in
Transport_FeedIn_DrivePower_Electricity,electricity,bev,flow_out
Transport_VarOM_DrivePower_Electricity,electricity,bev,cost_varom
